,Unnamed: 0,id,user_id,company_id,billing_tariff_id,payed_until,is_payed,created_at,updated_at,billing_tariff_price_id,comment,pay_date
4,4,3050,567,512,3,1640153302,False,1608617302,1608617302,12.0,,
6,6,3051,2861,2474,7,1640131200,True,1608626162,1608626181,23.0,,1608626181.0
16,16,3059,1902,1645,2,1616577484,False,1608801484,1608801484,6.0,,
18,18,3065,2352,2035,7,1643500799,False,1608883175,1608883175,23.0,,
24,24,3062,1074,926,3,1611964800,True,1608814072,1608899674,9.0,,1609200000.0
42,42,3099,2330,2014,7,1611878400,True,1609233377,1609233504,20.0,,1609233504.0
43,43,3098,2707,2353,2,1625011200,True,1609227069,1609328893,7.0,"30,12 - пришла оплата",1609200000.0
54,54,3119,407,366,4,1612742400,True,1610085035,1610085080,13.0,,1610085080.0
57,57,3123,531,483,4,1641945599,False,1610342051,1610342051,16.0,,
58,58,3125,2352,2035,7,1614556800,True,1610344168,1610344285,20.0,,1610344285.0
66,66,3131,2989,2565,2,1625961600,False,1610376793,1610376814,7.0,,
73,73,3107,1134,981,7,1613001600,True,1609317515,1612939588,20.0,"попросил продлить на 1 день, оплатит",1609286400.0
78,78,4818,4671,3785,2,1689465600,False,1626443988,1626443991,35.0,,
79,79,4854,4451,3633,7,1628812800,True,1626858295,1628679348,23.0,"оплата пришла 5,08
Переоткрыла другой лк",1628121600.0
82,82,5229,5013,4032,2,1661299200,False,1629820116,1629820125,8.0,,
83,83,3057,2920,2507,4,1624406400,False,1608717664,1608725138,15.0,"23,12 - оплатили, ожидаем в январе сообщение об активации тарифа",1608854400.0
92,92,5231,5019,4038,7,1661299200,False,1629820218,1629820222,23.0,,
93,93,3124,531,483,4,1613001600,True,1610342065,1610342130,13.0,,1610342130.0
94,94,5233,5022,4041,2,1630972800,False,1629821667,1629821686,7.0,,
100,100,5301,3942,3276,2,1646265600,False,1630409635,1630409641,7.0,,
101,101,4309,3903,3244,7,1657843200,False,1622474022,1622474046,23.0,,1622419200.0
102,102,5026,4857,3917,2,1630886400,True,1628174146,1630934664,35.0,"24 + 4 мес
06.09,2021 Возврат",1628208000.0
103,103,4385,4271,3515,2,1623715200,False,1623101458,1623101481,24.0,,
104,104,4402,3943,3277,7,1654646400,False,1623160457,1623160459,23.0,,
106,106,4414,4170,3443,4,1655337600,False,1623244427,1623244431,16.0,,
108,108,5388,5160,4132,2,1678060800,False,1630938988,1630938993,24.0,,
109,109,5387,3942,3276,2,1646524800,False,1630938819,1630945294,7.0,,
110,110,4437,4007,3323,11,1640649600,True,1623413724,1623413828,38.0,Активировали вместо текущего тарифа. Нужен был бэкап,1623413828.0
112,112,4439,4151,3429,7,1654905600,False,1623418288,1623418292,23.0,,
121,121,5402,5183,4145,7,1678147200,False,1631029912,1631029918,26.0,,
122,122,5404,407,366,7,1662767999,False,1631031981,1631031981,23.0,,
123,123,5405,5190,4150,9,1632182400,False,1631034481,1631034493,36.0,,
131,131,4820,24,21,4,1629158399,False,1626463664,1626463664,13.0,,
137,137,3061,1902,1645,2,1617062400,True,1608802041,1609163031,6.0,,1609163031.0
