,id,working_direction,employer_count_interval,created_at,updated_at,billing_tariff_id,billing_is_over
19,514,-,1.0,1571316635,1670298314,4.0,True
57,383,Строительство,2.0,1564142565,1676550050,7.0,False
69,495,-,1.0,1570535695,1598281714,2.0,False
75,724,-,1.0,1579514393,1670298294,4.0,True
99,471,-,1.0,1569328017,1670298360,7.0,True
124,8236,Строительство,2.0,1688014977,1690893826,2.0,False
156,726,-,1.0,1579548836,1670298343,4.0,True
157,650,Генеральный подрядчик,4.0,1575784898,1670298346,2.0,True
189,8900,Строительная компания,7.0,1695382331,1695471247,2.0,False
200,496,Строительство,1.0,1570749473,1670298304,4.0,True
218,430,Ремонт помещений,2.0,1567439356,1670298351,7.0,True
222,457,Строительство,1.0,1568701175,1670298359,4.0,True
242,8797,-,1.0,1694543867,1696238538,7.0,False
244,749,Строительство,2.0,1580289327,1694815202,2.0,True
267,257,строительство ,3.0,1554118691,1670298319,2.0,True
274,688,-,1.0,1578403989,1670298334,2.0,True
329,822,-,1.0,1583834021,1670298338,2.0,True
353,483,ремонт и отделка,2.0,1569639747,1670298375,4.0,True
384,218,Строительство,2.0,1552132144,1670298318,4.0,True
388,575,Строительство,1.0,1574192020,1670298324,4.0,True
407,468,СТРОИТЕЛЬСТВО,1.0,1569242435,1670298363,4.0,True
446,1,строительство,3.0,1548252051,1670298331,3.0,True
465,21,Строительство домов,1.0,1548939803,1682892002,7.0,True
473,8246,-,1.0,1688047592,1690544095,2.0,False
582,8591,-,1.0,1692352118,1698079367,9.0,False
734,303,телемаркетинг,1.0,1558425368,1670298382,2.0,True
764,865,-,1.0,1585804501,1670298313,7.0,True
770,347,ремонт,1.0,1561654467,1670298330,4.0,True
777,639,-,1.0,1575118404,1670298342,7.0,True
813,628,-,1.0,1574851611,1678440698,7.0,False
814,877,-,1.0,1586177903,1670298291,4.0,True
836,860,-,1.0,1585304200,1670298350,3.0,True
844,885,-,1.0,1586426322,1670298361,4.0,True
849,874,Ремонт и отделка помещений,1.0,1586156881,1670298371,4.0,True
855,845,-,1.0,1584625498,1670298400,6.0,True
856,602,-Малоэтажное строительство,1.0,1574501658,1670298400,4.0,True
859,738,строительство,2.0,1579887175,1670298403,2.0,True
860,905,Строительство,1.0,1586864957,1670298404,2.0,True
878,926,-,1.0,1587117862,1670298304,3.0,True
881,953,-,1.0,1587471818,1670298312,2.0,True
886,912,строительство,1.0,1587020740,1670298318,4.0,True
896,932,-,1.0,1587376064,1670298353,4.0,True
897,980,-,1.0,1587634149,1670298355,7.0,True
898,924,-,1.0,1587117073,1670298356,7.0,True
911,921,Отделка ,1.0,1587116147,1670298377,4.0,True
920,920,-,1.0,1587042579,1670298391,2.0,True
932,8674,-,1.0,1693218432,1693316024,7.0,False
968,1096,-,1.0,1588667559,1670298353,2.0,True
998,919,Строительство,2.0,1587034306,1670298282,2.0,True
1012,1056,-,1.0,1588148575,1670298314,4.0,True
1014,1067,-,4.0,1588238523,1670298319,10.0,True
1029,1072,-,1.0,1588238624,1670298352,2.0,True
1047,1071,-,2.0,1588238580,1670298396,2.0,True
1089,1036,Отделка,1.0,1587992296,1670298345,4.0,True
1096,1157,-,1.0,1589964148,1670298361,4.0,True
1107,1154,Строительство,3.0,1589880249,1670298384,2.0,True
1115,8676,-,2.0,1693229248,1702504801,2.0,True
1125,1233,-,1.0,1591694721,1670298288,7.0,True
1127,1184,-,1.0,1591094594,1670298292,2.0,True
1155,1275,-,1.0,1592209610,1670298361,7.0,True
1158,1177,-,1.0,1591014782,1670298365,7.0,True
1167,1210,-,5.0,1591269771,1670298379,7.0,True
1169,1153,Проектирование и строительство ресторанов ,1.0,1589831977,1670298383,7.0,True
1208,1277,-,1.0,1592212975,1670298327,7.0,True
1214,1250,-,1.0,1591781727,1670298341,7.0,True
1223,1222,-,1.0,1591608154,1670298365,7.0,True
1256,1317,строительство  и отделка,1.0,1592817781,1700226988,2.0,False
1270,1350,-,1.0,1593164372,1670298327,7.0,True
1288,1330,-,1.0,1592913088,1670298358,3.0,True
1300,1325,Строительство,1.0,1592891961,1670298374,2.0,True
1311,1394,ремонты,2.0,1594046967,1594046967,,False
1326,116,Электромонтажные работы,1.0,1549007268,1670298309,7.0,True
1350,1581,-,1.0,1596792465,1670298367,7.0,True
1362,1442,-,1.0,1594804985,1670298388,7.0,True
1365,1405,-,1.0,1594286516,1670298393,7.0,True
1372,8835,-,1.0,1694785766,1699653601,7.0,True
1382,1451,-,1.0,1594878362,1670298277,6.0,True
1415,1502,-,1.0,1595497767,1670298353,7.0,True
1423,1463,-,1.0,1595060942,1670298373,2.0,True
1443,8276,-,2.0,1688380242,1692601394,2.0,False
1464,1528,-,1.0,1596012330,1670298327,7.0,True
1468,1523,-,1.0,1595915041,1670298340,7.0,True
1490,1513,-,1.0,1595669046,1670298383,2.0,True
1498,1536,-,1.0,1596101047,1670298399,7.0,True
1538,1586,-,1.0,1597051396,1670298352,7.0,True
1545,1634,-,1.0,1597664086,1670298367,2.0,True
1574,1642,-,2.0,1597742629,1670298281,2.0,True
1626,1682,-,1.0,1598088152,1674511201,2.0,True
1627,512,-,1.0,1571294478,1674770401,2.0,True
1638,1750,-,1.0,1598609705,1670298265,7.0,True
1666,1757,-,1.0,1598857198,1670298347,7.0,True
1674,1751,строительная компания (тест),1.0,1598612430,1670298362,2.0,True
1677,1730,-,1.0,1598450837,1670298369,7.0,True
1684,1758,-,1.0,1598865824,1670298388,7.0,True
1698,8549,-,2.0,1691999414,1694815202,2.0,True
1722,1782,-,1.0,1599213332,1670298337,2.0,True
1728,1864,-,1.0,1600377351,1670298348,2.0,True
1843,2035,-,1.0,1602672454,1670298303,2.0,True
1845,1569,Строительство и ремонт,2.0,1596571087,1670298307,7.0,True
1863,2021,-,1.0,1602591770,1670298353,7.0,True
1878,2014,строительство,1.0,1602574065,1670298399,7.0,True
1884,8315,-,1.0,1688732716,1689743594,7.0,False
1917,1975,-,1.0,1602235539,1670298338,7.0,True
1945,2033,-,2.0,1602667426,1670298407,2.0,True
1996,2107,-,1.0,1603186029,1670298366,7.0,True
2003,2076,-,1.0,1602851101,1670298385,7.0,True
2043,2128,-,2.0,1603284468,1670298336,2.0,True
2055,2226,-,1.0,1604049938,1670298355,7.0,True
2073,2161,-,1.0,1603444991,1670298399,7.0,True
2074,2174,Демонтажные работы,2.0,1603624308,1670298401,2.0,True
2079,8326,Строительство рыбоводных ферм,2.0,1688987687,1688988480,2.0,False
2090,2213,-,1.0,1603888749,1670298298,7.0,True
2124,2310,-,1.0,1605084586,1670298381,7.0,True
