,id,company_id,user_id,role_id,created_at,updated_at,is_deleted,deleted_at
2,6601,495,,7133,1570535962,1570535962,True,1594066768.0
6,7025,1,,1,1594120484,1594120484,True,1594120488.0
7,7165,1255,1734.0,18085,1595438102,1595439391,True,1633960082.0
10,7130,1470,1703.0,1,1595234824,1595234824,False,
17,7163,1492,1731.0,1,1595429211,1598540644,True,1620195318.0
20,7034,1317,1626.0,18955,1594222241,1594273668,False,
21,6749,667,,9614,1579877137,1579877137,True,
22,6740,667,,9614,1579179409,1579179409,True,
34,7060,1330,1648.0,19134,1594627469,1594627856,True,1594629023.0
40,7140,667,1712.0,9614,1595255488,1595255488,True,1598614382.0
41,7053,1184,1659.0,17078,1594386841,1594650797,False,
45,7080,116,1668.0,1680,1594705714,1594795825,False,
49,6763,366,882.0,5273,1580806916,1580806916,False,
52,7106,1451,1683.0,1,1594878362,1594878362,False,
60,7119,1463,1694.0,1,1595060942,1595060942,False,
62,7082,926,1667.0,1,1594715840,1595061973,False,
63,7120,1464,1695.0,1,1595064182,1595064182,False,
66,7124,1056,1698.0,15268,1595097527,1595097767,False,
67,7027,694,,9994,1594150886,1594150886,True,1596716086.0
70,7156,1492,1726.0,1,1595419065,1595419065,False,
72,7161,1133,1728.0,16364,1595425334,1595425334,False,
74,7101,1255,,18085,1594820302,1594820302,True,1595438031.0
76,7141,924,1671.0,13321,1595318698,1595358863,True,1596534977.0
78,7168,738,,21509,1595494605,1595494605,False,
82,7167,1492,1735.0,1,1595491820,1595491889,True,1595516262.0
83,7125,885,,12711,1595147170,1595147170,True,1621688785.0
90,7178,1492,1741.0,21410,1595520760,1595520849,True,1597066774.0
91,7076,1330,1464.0,21580,1594643388,1594643623,False,
98,8310,2182,2721.0,1,1605597960,1605598264,True,1610716650.0
107,7102,1255,,18085,1594820302,1594820302,True,1594821080.0
113,7123,1056,1697.0,15268,1595085312,1595087557,False,
121,7172,1442,,20707,1595496552,1595496552,False,
132,8002,2128,2451.0,1,1603284469,1603284469,False,
135,8197,1848,,26416,1604579336,1604579336,True,1604579830.0
148,6924,1043,1351.0,1,1590059266,1609294931,False,
150,8684,1975,,1,1610419926,1610419926,True,1610420814.0
158,8265,920,2529.0,13265,1605106708,1605106708,True,1610618762.0
159,8725,920,2529.0,13265,1610618854,1610618854,True,1610618862.0
164,8802,2626,,37322,1611062456,1611062456,False,
165,8815,2635,3151.0,37449,1611136144,1611138281,False,
168,8886,2731,3206.0,38806,1611662896,1611663000,False,
169,8780,1935,,27634,1610988246,1610988246,True,1611680207.0
172,8942,2774,3254.0,1,1612281074,1612281074,False,
179,7079,694,791.0,9994,1594653416,1594653416,True,1612783369.0
180,8986,2798,3288.0,1,1612855486,1612855486,False,
182,8988,2800,3290.0,1,1612859200,1612859200,False,
184,8984,2635,3287.0,1,1612792961,1613822894,False,
185,8909,2567,3227.0,36494,1611836122,1613242721,False,
186,8968,2631,3270.0,37395,1612503276,1612503343,True,1617178751.0
187,7081,116,1677.0,1684,1594705738,1620645243,False,
188,7037,1405,1627.0,1,1594286516,1594286516,False,
192,7062,1330,,19136,1594628841,1594628841,True,1594629025.0
196,7103,1255,,18085,1594820302,1594820302,True,1594821084.0
204,7173,1442,,20709,1595496600,1595496600,False,
206,7189,1513,1751.0,1,1595669047,1595669047,False,
215,7201,1250,1759.0,18013,1595848472,1595848472,False,
216,7202,1250,,18014,1595848539,1595848539,False,
217,7199,1464,1760.0,21019,1595845124,1595856669,False,
218,7203,1470,1761.0,21101,1595862463,1595862778,False,
219,7205,1523,1762.0,1,1595915042,1595915042,False,
225,7196,1470,1767.0,21101,1595839066,1595949370,False,
226,7204,1464,1768.0,1,1595883739,1595964373,False,
227,7214,1528,1769.0,1,1596012331,1596012331,False,
228,6952,1071,,15478,1591342144,1591342144,True,1596013650.0
231,7219,1071,1529.0,15481,1596085348,1596085348,False,
236,7225,1536,1776.0,1,1596101047,1596101047,False,
238,7217,471,,1,1596047101,1596047101,True,1596111368.0
239,7228,1492,1735.0,21415,1596111479,1596111479,True,1596111551.0
243,7236,1528,1786.0,21919,1596201523,1596201580,False,
244,7230,1210,1783.0,17446,1596111912,1596201655,False,
245,7238,1210,1785.0,17446,1596201646,1596201646,True,1596201802.0
246,7239,1210,1787.0,17446,1596201867,1596202043,False,
248,7244,1405,1790.0,20189,1596290536,1596290615,False,
252,7206,926,1763.0,1,1595924743,1596433487,False,
